user,like
1021212,http://www.example.com/Song/8374bee9-40c6-4ddc-aad2-ee70934695c9
1021212,http://www.example.com/Song/805b583e-e58e-421b-9956-a00395285c36
1021212,http://www.example.com/Song/1c7e59a3-59d6-4cf8-a818-5ab6d263ab58
1021212,http://www.example.com/Song/a5527f4f-1bcd-46ca-8f84-e5a8e6931a7c
1021212,http://www.example.com/Song/1037f834-6b9f-4f34-8744-af638b5ade2f
1021212,http://www.example.com/Song/71447a86-0f26-49f9-bd3c-de0226282786
1021212,http://www.example.com/Song/320b75ba-4e3d-4bc7-bd65-56842c538f1c
1021212,http://www.example.com/Song/5944fddf-bad3-4d37-a209-929d2352c2ee
1021212,http://www.example.com/Song/5a1247a8-d0b4-4f1b-8927-103afb82cbaf
1021212,http://www.example.com/Song/0ae226c2-f8e6-4187-92d5-770a048c0e49
1021212,http://www.example.com/Song/0ed43b2a-765f-4535-a535-fdcc78f29cb3
1021212,http://www.example.com/Song/ccfa37a0-746f-40de-a57b-44ea5d6ebc2e
1021212,http://www.example.com/Song/1224c8b2-81ec-4543-8fdf-fa263e24506d
1021212,http://www.example.com/Song/147f2386-d500-4252-a7e7-d28f7b69a0b4
1021212,http://www.example.com/Song/52e16720-8acc-4918-b293-de0acf64b65d
1021212,http://www.example.com/Song/a2bf7b1f-a0d8-4738-be06-8e54803fab4d
1021212,http://www.example.com/Song/bdb0d62f-e95d-4515-88d0-e3a123de226c
1021212,http://www.example.com/Song/fb3ba898-a9b0-4c11-aed2-7f61c8e09737
1021212,http://www.example.com/Song/36a789bb-7056-4cd5-ad50-d43e8758e6e2
1021212,http://www.example.com/Song/c08c81de-7d59-451a-ac87-b7a829ee35f0
1021212,http://www.example.com/Song/798af7fa-a640-414c-8f9c-5e65edd84766
1021212,http://www.example.com/Song/434ffce0-26ba-4765-9d52-ba3e5de42c72
1021212,http://www.example.com/Song/c246c0f8-7be2-453f-8ada-a65dd87f5a85
1021212,http://www.example.com/Song/03725559-ccbb-458d-8a96-0a357c270bec
1021212,http://www.example.com/Song/214a6554-6316-4aa8-ab25-f0693ee1f323
1021212,http://www.example.com/Song/80491579-7089-410f-8d7a-0c35ba39b628
1021212,http://www.example.com/Song/4c09488f-d3e8-466b-b4ac-bd2032654086
1021212,http://www.example.com/Song/53514a6a-9ee3-406d-af18-8c87a82530a4
1021212,http://www.example.com/Song/3a270d40-3365-47f0-85e8-a5c4c9accbc4
1021212,http://www.example.com/Song/35b4061b-b745-41c1-b60d-d650af11d21d
1021212,http://www.example.com/Song/a8ebe607-e8f7-4f6a-be1b-51b78c49997a
1021212,http://www.example.com/Song/81599374-cab2-49d1-99ad-efedceb5f99f
1021212,http://www.example.com/Song/9ae1b841-5e58-48ae-b00a-205e33958e66
1021212,http://www.example.com/Song/f0cb5b37-f5e2-4be5-b379-1cbeacc553fc
1021212,http://www.example.com/Song/39792e32-3092-4c6a-9426-391dd16db1eb
1021212,http://www.example.com/Song/436fe872-66b1-42aa-b5d4-7ebc51223005
1021212,http://www.example.com/Song/bf873371-ed2e-4613-a7e3-d1b71bb637e6
1021212,http://www.example.com/Song/40912d6a-66d4-45dc-b6b5-713641fd69a0
1021212,http://www.example.com/Song/39cb997d-479e-46ef-8dd3-a2144d10fccd
1021212,http://www.example.com/Song/d62cc974-7ff0-4384-8964-ce56011d1f33
1021212,http://www.example.com/Song/ace71d59-a0bf-4689-9a58-ea43eeb51ec9
1021212,http://www.example.com/Song/8143965b-cc1a-4607-8d77-e41139085b3d
1021212,http://www.example.com/Song/3f6d5b46-501f-4b08-a600-292781ea828a
1021212,http://www.example.com/Song/653503cb-24c9-48cc-b4fa-968709520e98
1021212,http://www.example.com/Song/e83e4aed-c8c1-4043-a342-5059666e0a64
1021212,http://www.example.com/Song/13bff946-95e0-4f16-b0cd-60a8ecec3682
1021212,http://www.example.com/Song/9d52c781-d5e9-4f69-963e-ee99688c38a3
1021212,http://www.example.com/Song/2a3ce184-b7b1-43db-a1eb-2371916157ed
1021212,http://www.example.com/Song/d14e7848-70e7-4e4b-a38f-f32209837f59
1021212,http://www.example.com/Song/bda675f8-f884-4298-a074-4d40c326ef82
1021212,http://www.example.com/Song/35fa796d-497a-4806-a77d-da038c4681b9
1021212,http://www.example.com/Song/07ced08d-4fe6-4434-ab69-d321269e81e9
1021212,http://www.example.com/Song/1dfd7d00-b3f9-43c0-82df-d65ca3a29728
1021212,http://www.example.com/Song/7126f11e-c911-419c-8cc6-827c3514f4ec
1021212,http://www.example.com/Song/b711287f-f587-4fdd-9462-9e3078e76f65
1021212,http://www.example.com/Song/498678c3-7db5-4eaf-afdd-8d8015b018d4
1021212,http://www.example.com/Song/ca7b97df-cef5-4222-b23b-6d9bb46be9eb
1021212,http://www.example.com/Song/cf0ce4cc-adb7-44ea-8c23-f78305248d95
1021212,http://www.example.com/Song/08a5289b-234c-48a7-8537-20a32692e7aa
1021212,http://www.example.com/Song/5bd16531-0058-439f-8b17-bb40a5179b6e
1021212,http://www.example.com/Song/0b701e7b-3162-43f0-9443-55fed9a861eb
1021212,http://www.example.com/Song/4605738b-d33a-448e-9faa-8bf08fc56c28
1021212,http://www.example.com/Song/1f44af9d-c188-4055-88e7-d46503423c70
1021212,http://www.example.com/Song/288f904c-0985-4a70-8853-2c635bcadf27
1021212,http://www.example.com/Song/295b2bc5-8fb9-43cd-ac26-64df5eace246
1021212,http://www.example.com/Song/0207e5ae-2b75-4cec-b8b1-38150e407bfe
